item Name,Category,Model name,Manufacturer,Model Number,Serial number,Location,Notes,Company,Status
Rack Switch,Rack Switch - Non PoE,26P 1GB Rack Switch -Cisco,Cisco,SG200,DNI2150013M,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - Non PoE,26P 1GB Rack Switch -Cisco,Cisco,SG200,DNI21500126,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - Non PoE,24 10/100 Rack Switch - Cisco,Cisco,C3750,FDO1221X3VJ,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - PoE,24 10/100 Rack Switch  Cisco,Cisco,C3750,CAT0942R29Y,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - PoE,48 10/100 Rack Switch - Cisco,Cisco,C3750,FDO1128Z734,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - Non PoE,24 10/100Rack Switch - HP,HP,2524,SG534NV0S4,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - Non PoE,25 10/100Rack Switch - HP,HP,2524,TW04400888,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
Rack Switch,Rack Switch - Non PoE,24 10/100/100 Rack Switch -HP,HP,2626,TW603SE1WW,SR1 B6 S3,Uses AC Power Cord,Penta Career Center,Pending
